torneo,fecha,partido,equipo_local,equipo_visitante,goles_local,goles_visitante,posesion_local,tiros_arco_local,intentos_local,fouls_local,corners_local,posesion_visitante,tiros_arco_visitante,intentos_visitante,fouls_visitante,corners_visitante,amarillas_local,amarillas_visitante,rojas_local,rojas_visitante
Apertura 2009,1,1,Gimnasia (LP),Godoy Cruz,0,2,,,,,,,,,,,,,,
Apertura 2009,1,2,Independiente,Newells,0,1,,,,,,,,,,,,,,
Apertura 2009,1,3,San Lorenzo,Atl Tucuman,3,1,,,,,,,,,,,,,,
Apertura 2009,1,4,Chacarita,Tigre,1,2,,,,,,,,,,,,,,
Apertura 2009,1,5,Arsenal,Estudiantes (LP),0,2,,,,,,,,,,,,,,
Apertura 2009,1,6,Rosario Central,Racing Club,1,0,,,,,,,,,,,,,,
Apertura 2009,1,7,Huracan,Lanus,1,2,,,,,,,,,,,,,,
Apertura 2009,1,8,Boca Juniors,Argentinos,2,2,,,,,,,,,,,,,,
Apertura 2009,1,9,Colon,Velez,0,1,,,,,,,,,,,,,,
Apertura 2009,1,10,Banfield,River Plate,2,0,,,,,,,,,,,,,,
Apertura 2009,2,1,Tigre,Rosario Central,1,2,,,,,,,,,,,,,,
Apertura 2009,2,2,Racing Club,Colon,1,1,,,,,,,,,,,,,,
Apertura 2009,2,3,Velez,Arsenal,3,1,,,,,,,,,,,,,,
Apertura 2009,2,4,Estudiantes (LP),Gimnasia (LP),3,0,,,,,,,,,,,,,,
Apertura 2009,2,5,Argentinos,Banfield,1,1,,,,,,,,,,,,,,
Apertura 2009,2,6,Godoy Cruz,San Lorenzo,1,1,,,,,,,,,,,,,,
Apertura 2009,2,7,River Plate,Chacarita,4,3,,,,,,,,,,,,,,
Apertura 2009,2,8,Atl Tucuman,Independiente,2,4,,,,,,,,,,,,,,
Apertura 2009,2,9,Lanus,Boca Juniors,1,2,,,,,,,,,,,,,,
Apertura 2009,2,10,Newells,Huracan,1,0,,,,,,,,,,,,,,
Apertura 2009,3,1,Arsenal,Racing Club,0,0,,,,,,,,,,,,,,
Apertura 2009,3,2,San Lorenzo,Estudiantes (LP),2,2,,,,,,,,,,,,,,
Apertura 2009,3,3,Argentinos,Lanus,0,0,,,,,,,,,,,,,,
Apertura 2009,3,4,Huracan,Atl Tucuman,0,2,,,,,,,,,,,,,,
Apertura 2009,3,5,Independiente,Godoy Cruz,2,0,,,,,,,,,,,,,,
Apertura 2009,3,6,Boca Juniors,Newells,1,1,,,,,,,,,,,,,,
Apertura 2009,3,7,Banfield,Chacarita,1,0,,,,,,,,,,,,,,
Apertura 2009,3,8,Colon,Tigre,5,1,,,,,,,,,,,,,,
Apertura 2009,3,9,Gimnasia (LP),Velez,0,1,,,,,,,,,,,,,,
Apertura 2009,3,10,Rosario Central,River Plate,2,1,,,,,,,,,,,,,,
Apertura 2009,4,1,Racing Club,Gimnasia (LP),1,1,,,,,,,,,,,,,,
